cluster,block_height,output_index,derived_p2pkh_address,amount_btc,script_type,source
D,12044,0,1DD5BR9McGZNAz5WRDsznsBaqdzajKWXMk,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12045,0,1Mcm6JTfkTJXVfYshdqHsn2tWybFDCUdyM,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12046,0,19R59RwpkdWNTcjrFfgQfQrXu2ERPBWcjk,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12047,0,1N4TeRS4ysm3FfP3J4FWopAmqRsFTJCRe6,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12049,0,15Y7wGJsc3yLwJmEMEv8zXXnVXsyzVjPY9,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12050,0,1JFPKRvoqPpWHQ6nrt4dAHJSpvpxNcqpos,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12051,0,1CzKBgfx9wuHpcGp5zz8oujDjbkSVqzr7c,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12052,0,156WFpNqoLbzKj5aH3vKytPEdJrKrYCxU5,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12053,0,18eQqhzdYvwurrgNWscKVfv5Yet4QV38Um,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12054,0,1CXpELvJMCAeHgCMo11efQqBq67Y1bJ7Lm,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12055,0,1GkWnKmQG4pCpGnhCaWbSL2mTvyvV4xuUK,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12056,0,15q7GLnoPNUPPidK6EgePy4yWMfvXxSZyt,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12057,0,17DBJqgLC17juGUbzR92DekJ5i5K9gMRg,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12058,0,1Cb2cBN56rbSZR46LHunrBKQAGAnryX5my,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12060,0,19N4NpqEx87viNESe56o3Vmfva4Gtx1WKU,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12061,0,12b4Pqgr7gPbNWaGk8ccBfxdRMRJyQoWud,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12062,0,1q1WAdypQ8biEqVoHUQz1wpRcTx3J5sA3,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12063,0,1LG2EnxDHJzVZxwJCV6LXuQZ2uN82NJwyG,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12065,0,14YskTXpXKDPy7aMdz1Y98bLQ1RdP5hZH7,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12067,0,18iZnxg4axRc3w97iSvriYC1LfFSkJt4ET,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12068,0,18K435meZ8RaHkWiH87RMtujmn1nSZJc2v,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12069,0,1DD1W3BWrVRGc2qRmJXbr3Fy75thH4WTZ9,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12070,0,15Dqmb58BTfmoKFFZqgB2JTrFH672yyNCS,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12071,0,1NFGmJsdtjk1NXNBYjr4W85xDgJpJ72rZM,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12073,0,1F6LUAtD4UMHVKhRfZZp73xR3KmxiReqLX,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12074,0,1PDqAVDfGSuyL9Dpj8JC4JznqwP3vwzDXt,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12075,0,1BYwQMXa9heFZvdTyFk4vrkzn8GR75r2h9,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12076,0,1Ca4UugboowN5GuPKctoS243Zqfnt646AM,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12077,0,1E928dFLeQnjT7nkvf82CSvfyd42amVj9z,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12078,0,19gCDsSXPyFQTJCUDGrhHkov6mNfmhEmvZ,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12079,0,12vKVMpeRBwYhQ6JznrdS9SRum2P7EDGwm,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12080,0,1Fx8piuW8re9RNzDwCxroxju6yESxJQVir,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12081,0,1DVW1yBgPVBGHQ5bmwCjgWcKWU5WicQPKg,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12082,0,146nuzEh5zAZKiiBbCdxUB14begP1rKXcf,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12085,0,122YrCY4mnESawVp9uy46Jna3z2teTTkut,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12086,0,1N7iHFXWA6VtPYQ7q7Q5y5cC9z794SgLz3,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12087,0,1GE5iDLcnkEGWVcHzzyFgoqooWJRxo2DRk,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12088,0,1JVGYKgonLLUvBVHDfWvGuzSiug2SHeCa9,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12089,0,1Nch6EPuZ7RCQXZM5yTUrHmFwSMRs71Lqe,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12090,0,1HvaB1QM5faupfjRcXGLFiRquofumtU7vC,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12092,0,1Md9mjx2ghyce2WB7Tr4Fb67qi9ZwYcBSL,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12093,0,1F5JFca4uztE3ysN23EeujapiUjCq242FR,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12094,0,14TueLuetXF58iYjFg44YZaZVvjPVgKrAx,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12095,0,14sGzgS2dKgSRFKcPkHQ7eBaCJoAmNRG8G,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12097,0,1AVmw84WWPsSPJJbTh2UoPavwReAZpVxWS,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12099,0,16wFG1i3fJQS5vGRzQf4vjsSAAyV2j7Fmg,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12100,0,1KWG29KAjp2HLEXyV43n6vhW9PxHpvqW7n,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12101,0,1CkMY4idJXgD784h3XVrQDzpdLzVCkwesC,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12102,0,145HNZGgyKxSNcFQMfNpfVxmuY8xq9d7dV,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12103,0,1CMaEjvg98Tnh7CqeYJnUF22kVTfLjxWJj,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12104,0,1Bkaw3QbxojyqgFdW3MXhoR56ED3SL6oLo,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12105,0,19rmcrLnC9tYnM2bz2tHeygxgeiLGJFvRg,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12107,0,1FzBu3DtnmsgjxjFXfwekfKs7ZFRRZZtz7,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12108,0,15TyYUz2F4ryNsw7DhVLsAETvYg2gi8Sii,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12109,0,1DdadZfKhgzqfUpPJ2zC6YKAETUEYLNfbE,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12111,0,1MYCru8gwuFfDhQKsWMndRUDy4bTWkLsve,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12112,0,1DrtVwLugqwfaJAydhCcJf8Paqn4YZ82aD,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12113,0,1GQqPWAcPYsEjR9PDdykGQ4iyYQg6s8hUG,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12115,0,1DSf5bscaKSLMtmYNhpXCVHQ2CTxtktEfT,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12116,0,13ZFDCrF4QmQswynr9FDnkLsq9cMxiwQJt,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12117,0,155zhRni4UkYtq46M74gZCBLfeBgb9BUJw,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12118,0,15N4F3nDbQCh26ZJ34PKgQNHL1Jrhr4qeA,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12119,0,1FqhLCXjMayddgfjPXFC2Rr6ZakDiBeh1h,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
